url,title,price,address,type,cuisine
https://www.hungrygowhere.com/singapore/the_line/,The Line,$$$$,"Shangri-La Hotel, 22 Orange Grove Road, 258350",Restaurant,International
https://www.hungrygowhere.com/singapore/brazil-churrasco-ghim-moh-holland/,Brazil Churrasco,$$$,"14/16 Sixth Avenue, 276476",Restaurant,Brazilian • Desserts • Latin American • Western
https://www.hungrygowhere.com/singapore/Chikuyotei__InterContinental_Singapore_/,Chikuyotei (InterContinental Singapore),$$$$,"Lobby InterContinental Singapore, 80 Middle Road, 188966",Bar or Pub,Asian • Japanese • Wine
https://www.hungrygowhere.com/singapore/bb-guo-marina-south/,BB Hotpot,$$$,"#02-06 Marina Bay Financial Centre Tower 3, 12 Marina Boulevard, 018982",Restaurant,Chinese • Steamboat
https://www.hungrygowhere.com/singapore/upin-hot-pot-chinatown/,Upin Hot Pot (The Central),$$$,"#03-87 The Central, 6 Eu Tong Sen Street, 059817",Restaurant,Chinese
https://www.hungrygowhere.com/singapore/chicken-up-orchard-river-valley/,Chicken Up (Orchard),$$,"#01-33H The Centrepoint, 176 Orchard Road, 238843",Restaurant,Asian • Korean
https://www.hungrygowhere.com/singapore/io-italian-osteria-hillview/,iO Italian Osteria,$$$,"#02-01 HillV2, 4 Hillview Rise, 667979",Restaurant,Cocktails • European • Italian • Western • Wine
https://www.hungrygowhere.com/singapore/irodori-japanese-restaurant-tiong-bahru-outram/,"Irodori Japanese Restaurant (Four Points by Sheraton Singapore, Riverview)",$$,"#03-01 Four Points By Sheraton Singapore, Riverview, 382 Havelock Road, 169629",Restaurant,Asian • Japanese
https://www.hungrygowhere.com/singapore/tien_court/,Tien Court,$$$,"2F Copthorne King's, 403 Havelock Road, 169632",Restaurant,Asian • Cantonese • Chinese • Sichuan
https://www.hungrygowhere.com/singapore/indo-chili-anson-tanjong-pagar/,IndoChili (Tanjong Pagar Centre),$$,"#B1-03, 7 Wallich Street, 078884",Restaurant,Halal • Indonesian
https://www.hungrygowhere.com/singapore/oscar_s_cafe_terrace/,Oscar's,$$$$,"Lobby Level Conrad Centennial Singapore, 2 Temasek Boulevard, 038982",Restaurant,International
https://www.hungrygowhere.com/singapore/the_buffet/,The Buffet,$$$,"Level 2 M Hotel, 81 Anson Road, 079908",Restaurant,International
https://www.hungrygowhere.com/singapore/collins-orchard-river-valley/,COLLIN’S® (Cineleisure Orchard),$,"#B1-08/09 Cineleisure Orchard, 8 Grange Road, 239695",Restaurant,Western
https://www.hungrygowhere.com/singapore/saltwater-cafe-village-hotel-changi-changi-village-loyang/,Saltwater Cafe @ Village Hotel Changi,$$,"Level 1 Village Hotel Changi, 1 Netheravon Road, 508502",Cafe,Asian • Halal • International • Seafood • Singaporean
https://www.hungrygowhere.com/singapore/akira-back-bugis/,Akira Back,$$$$,"(Access via Nicoll Highway) JW Marriott Hotel Singapore South Beach, 30 Beach Road, 189763",Restaurant,Japanese • Korean
https://www.hungrygowhere.com/singapore/morganfields-dover-buona-vista-ayer-rajah/,Morganfield's (The Star Vista),$$,"#02-23 The Star Vista, 1 Vista Exchange Green, 138617",Restaurant,American • Western
https://www.hungrygowhere.com/singapore/kuishin_bo_suntec_city/,Kuishin Bo Authentic Japanese Buffet (Suntec City Mall),$$$,"#03-334 to 337 Suntec City North Wing Suntec City Mall, 3 Temasek Boulevard, 038983",Restaurant,Asian • Japanese
https://www.hungrygowhere.com/singapore/stickies-bar-chinatown/,Stickies Bar @ Keng Cheow (Keng Cheow),$$,"#01-10 The Riverside Piazza, 11 Keng Cheow Street, 059608",Bar or Pub,Beer • Drinks • Western
https://www.hungrygowhere.com/singapore/3-crab-delicacy-seafood-restaurant/,3 Crab Delicacy Seafood Restaurant (Tiong Bahru),$$,"#01-04 Link Hotel, 50 Tiong Bahru Road, 168733",Restaurant,Chinese • Seafood • Singaporean • Teochew
https://www.hungrygowhere.com/singapore/big-small-restaurant/,Big & Small Restaurant (formerly Jim Garden珍厨名苑),,"4 Craig Road, 089664",Restaurant,Chinese • Shanghainese
https://www.hungrygowhere.com/singapore/cast-iron-bugis/,Cast Iron,$$$$,"#01-32/33 Duo Galleria, 7 Fraser Street, 189356",Restaurant,Japanese
https://www.hungrygowhere.com/singapore/the-boiler-louisiana-seafood-beer-macpherson-upper-aljunied-paya-lebar/,The Boiler Seafood Bar & Beer (Howard),$$$,"#01-06 Novelty Bizcentre, 18 Howard Road, 369585",Bar or Pub,American • Cajun/Creole • Seafood • Western
https://www.hungrygowhere.com/singapore/shang-pin-hot-pot-bugis/,Shang Pin Hot Pot (Rendezvous Gallery),$$$,"#02-02 Rendezvous Hotel Singapore, 9 Bras Basah Road, 189559",Restaurant,Chinese • Steamboat
https://www.hungrygowhere.com/singapore/rasa-istimewa-woodlands-waterfront-restaurant-sembawang/,Rasa Istimewa Woodlands Waterfront Restaurant,$$,"Woodlands Waterfront Park, 6A Admiralty Road West, 757445",Restaurant,Halal • Seafood • Western
https://www.hungrygowhere.com/singapore/morganfield-s-suntec-city-hall/,Morganfield's (Suntec City Mall),$$,"#01-645/646 Suntec City East Wing Suntec City Mall, 3 Temasek Boulevard, 038983",Restaurant,American • Western
https://www.hungrygowhere.com/singapore/anti-dote-bugis/,Anti:dote,$$$,"Level 1 Fairmont Singapore, 80 Bras Basah Road, 189560",Bar or Pub,Cocktails • Drinks • Western
https://www.hungrygowhere.com/singapore/upin-hot-pot-orchard-river-valley/,Upin Hot Pot (Orchard Gateway),$$$,"#04-19 Orchard Gateway, 277 & 218 Orchard Road, 238858",Restaurant,Chinese
https://www.hungrygowhere.com/singapore/fat-bird-bugis/,Fat Bird (Liang Seah),$$,"#01-15/16 Liang Seah Place, 1 Liang Seah Street, 189022",Restaurant,Chinese • Sichuan • Zi Char
https://www.hungrygowhere.com/singapore/indo-chili-anson-tanjong-pagar/,IndoChili (Tanjong Pagar Centre),$$,"#B1-03, 7 Wallich Street, 078884",Restaurant,Halal • Indonesian
https://www.hungrygowhere.com/singapore/happenstance-cafe-balestier-whampoa-boon-keng/,Happenstance Cafe - Pet-friendly cafe with a pleasant and welcoming environment,$$,"35 Opal Crescent, 328425",Cafe,European • Western
https://www.hungrygowhere.com/singapore/sea-tripod-seafood-paradise-cantonment-tanjong-pagar-chinatown/,Sea Tripod Seafood Paradise,$$,"#01-02 Dorsett Residences, 331 New Bridge Road, 088764",Restaurant,Seafood • Steamboat
https://www.hungrygowhere.com/singapore/peony_jade_restaurant_clarke_quay/,Peony Jade Restaurant (Clarke Quay),$$$,"#02-02 Clarke Quay, 3A River Valley Road, 179020",Restaurant,Asian • Cantonese • Chinese • Dim Sum • Sichuan
https://www.hungrygowhere.com/singapore/arbite/,Arbite,$$,"66A Serangoon Garden Way, 555962",Restaurant,European • Western
https://www.hungrygowhere.com/singapore/lawry_s_the_prime_rib_singapore_mandarin_gallery/,Lawry's The Prime Rib (Mandarin Gallery),$$$$,"#04-01/31 Mandarin Gallery, Mandarin Orchard Singapore, 333A Orchard Road, 238897",Restaurant,American • Steak and Grills • Western
https://www.hungrygowhere.com/singapore/dm-chicken-chinatown/,DM Chicken,$$,"#03-00, 191B New Bridge Road, 059423",Restaurant,Chinese • Korean
https://www.hungrygowhere.com/singapore/kueh-ho-jiak/,Kueh Ho Jiak (East Village),$,"#01-62 East Village, 430 Upper Changi Road, 487048",Kiosk or Stall,Chinese
https://www.hungrygowhere.com/singapore/fart-tartz-changi-bedok-north/,Fart Tartz (Singapore Expo),$,"#02-04 Singapore Expo, Max-Atria (Foyer 1), 1 Expo Drive, 486150",Confectionery or Bakery,Desserts
https://www.hungrygowhere.com/singapore/cherry-garden-raffles-avenue-suntec-city-hall/,Cherry Garden,$$$$,"5F Mandarin Oriental Singapore, 5 Raffles Avenue, 039797",Restaurant,Asian • Cantonese • Chinese • Dim Sum
https://www.hungrygowhere.com/singapore/kinou/,Kinou,$$,"Tanjong Pagar Conservation Area, 81 Tras Street, 079020",Restaurant,Cocktails • Drinks • Fusion • International • Snacks
https://www.hungrygowhere.com/singapore/morganfield-s/,Morganfield's (Orchard Central),$,"#11-03/04 Orchard Central, 181 Orchard Road, 238896",Restaurant,American • Western
https://www.hungrygowhere.com/singapore/steakville/,Steakville,,"#01-56 Sunshine Plaza, 91 Bencoolen Street, 189652",Restaurant,Cocktails • Drinks • Italian • Steak and Grills • Western
https://www.hungrygowhere.com/singapore/pizzaexpress-marina-south/,PizzaExpress (Marina One),$$,"#01-20/21 Marina One, 5 Straits View, 018935",Restaurant,Italian • Pizza
https://www.hungrygowhere.com/singapore/sky22-novena-thomson/,Sky22,$$,"Level 22 Courtyard by Marriott Singapore Novena, 99 Irrawaddy Road, 329568",Restaurant,Asian • International • Singaporean
https://www.hungrygowhere.com/singapore/spagtacular-chinatown/,Spagtacular,$$,"54 South Bridge Road, 058685",Restaurant,Western
https://www.hungrygowhere.com/singapore/straitskitchen/,StraitsKitchen,$$$,"Grand Hyatt Singapore, 10 Scotts Road, 228211",Restaurant,Asian • Halal
https://www.hungrygowhere.com/singapore/brotzeit_german_bier_bar_restaurant_vivocity/,Brotzeit German Bier Bar & Restaurant (Vivo City),$$,"#01-149/151 VivoCity, 1 HarbourFront Walk, 098585",Bar or Pub,Beer • European • German • Western • Wine
https://www.hungrygowhere.com/singapore/The_Landing_Point_/,The Landing Point,$$$,"Fullerton Bay Hotel, 80 Collyer Quay, 049326",Bar or Pub,Asian • Beer • International • Western • Wine
https://www.hungrygowhere.com/singapore/3-crab-delicacy-seafood-restaurant-sengkang-hougang-buangkok-/,3 Crab Delicacy Seafood Restaurant (Upper Serangoon),$$,"21 Teck Chye Terrace, 545726",Restaurant,Chinese • Seafood • Singaporean • Teochew
https://www.hungrygowhere.com/singapore/tea-bar-anson-tanjong-pagar/,Tea Bar,$,"M Hotel, 81 Anson Road, 079908",Cafe,Western
https://www.hungrygowhere.com/singapore/the_buffet/,The Buffet,$$$,"Level 2 M Hotel, 81 Anson Road, 079908",Restaurant,International
https://www.hungrygowhere.com/singapore/Himawari_Japanese_Restaurant__alexandra_/,Himawari Japanese Restaurant (Alexandra Road),$$$,"#01-08/09, 991B Alexandra Road, 119970",Restaurant,Asian • Japanese
